objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners
376928,L'Archipèl ,Développement des musiques actuelles sur le département creusois,/associations/l-archipel,https://cdn.helloasso.com/img/logos/croppedimage-00ed73a281d24ad7846b7b0cfb39b4c5.png,https://cdn.helloasso.com/img/photos/croppedimage-a8c17ab6ceaa4428946bab3b5bd78b41.png,Jarnages,23140,Creuse,Nouvelle-Aquitaine,30 Grande Rue,46.181267,2.084577,Association1901,Arts | Culture | Musique,,3,"Event, Membership",1676329200,1774883844,110,
658328,NAUT'ACTIVE,"Située au plan d'eau de La Naute , Naut'Active est un pôle culturel rural en Creuse. Depuis plus de 20 ans, l'association défend une culture vivante et accessible à tous. Elle propose des concerts, résidences et actions éducatives pour dynamiser le territoire.",/associations/naut-active,https://cdn.helloasso.com/img/logos/croppedimage-c2d724b5862a46feb3e70967dd55ab0a.png,https://cdn.helloasso.com/img/photos/croppedimage-6f5026fd12ac473d85634a693fc37a64.jpg,Champagnat,23190,Creuse,Nouvelle-Aquitaine,"La Naute,",46.032679,2.280873,Association1901,,,2,"Event, Membership",1774306800,1774942832,110,
478629,Les Amis de la chassagne ,"Association à but non lucratif désireuse d'animer notre petit village Creusois en organisant des animations inédites à PAQUES, L ETE ET POUR LES FETES DE NOEL. L'objectif est d'améliorer, notre cadre de vie par des décorations originales dans notre village, notre environnement et notre solidarité. ",/associations/les-amis-de-la-chassagne,https://cdn.helloasso.com/img/logos/croppedimage-fa4268964ba54fa796177b4b744fcc64.jpg,https://cdn.helloasso.com/img/photos/croppedimage-c6b3b87cf7c04ccb9d8523ce827f7959.png,Soumans,23600,Creuse,Nouvelle-Aquitaine,2 La Chassagne,46.297859,2.335618,Association1901,Arts | Culture | Environnement | Fête | Solidarité | Ecologie et Environnement,Sudouest,1,Event,1708556400,1774666589,110,
253484,Association 1 2 3 Parents,"Implantée en Creuse à Guéret, l’association « 1,2,3,… Parents » a pour objet d’entretenir un réseau de parents pour créer des liens de partage et d’entraide, en fonctionnant sur l’échange d’expériences entre parents. ",/associations/association-1-2-3-parents,https://cdn.helloasso.com/img/logos/croppedimage-48fcb193257f47ab837ba3559908cd02.png,https://cdn.helloasso.com/img/photos/croppedimage-e421b51b53e247849dbb8bae496eac1f.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,50 avenue d'Auvergne,46.166491,1.885461,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,3,"Shop, Event, Membership",1616626800,1774691901,110,
465941,Balalavoix,"L'objectif principal de l'association est de favoriser les rencontres autour du chant et de la danse et de faire exister, tout en la réinventant, une offre culturelle de chant polyphonique à danser engagé et qui aborde des sujets de société et les grands problèmes auxquels fait face l'humanité.",/associations/balalavoix,https://cdn.helloasso.com/img/logos/croppedimage-3ae8f1b8f4ff4164b70425b45fa56e1b.png,https://cdn.helloasso.com/img/photos/croppedimage-749f147940dd40ddb6166bc978a9fdc9.png,Saint-Moreil,23400,Creuse,Nouvelle-Aquitaine,18 le Pommier,45.862756,1.702214,Association1901,Arts | Chant | Culture | Danse | Musique | Arts et Culture,,4,"Event, Donation, Membership",1705359600,1774883429,110,
435279,Les Ateliers de la Creuse,"Créée en 2011, Recyclabulle est une ressourcerie implantée sur le Bassin Guéretois et La Souterraine. Notre objectif ? Lutter contre le gaspillage des ressources naturelles par le réemploi, la récupération et le recyclage !",/associations/les-ateliers-de-la-creuse,https://cdn.helloasso.com/img/logos/croppedimage-657e86cb392a4bf9911c6abd91d4ad7e.png,https://cdn.helloasso.com/img/photos/croppedimage-e189be15d48a462dbdcef698c83f0d15.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,33 Route de Cher du Prat,46.19204,1.87247,Association1901Rig,Ecologie et Environnement | Environnement,Sudouest,2,Membership,1695592800,1773334820,110,SiteW
566170,CPTS La Licorne,"La CPTS (Communauté Professionnelle Territoriale de Santé) La licorne a pour but, en Sud-est Creuse, d'améliorer et développer :  - L'accès aux soins - Les parcours de soins pluriprofessionnels - La prévention - L'accompagnement des professionnels de santé - La réponse en cas de crise sanitaire",/associations/cpts-la-licorne,https://cdn.helloasso.com/img/logos/croppedimage-ec33c99c9a0a4b0c8856b4a11092d5a2.png,https://cdn.helloasso.com/img/photos/croppedimage-354772dab0fb43f791ba203e04b8deb4.png,Moutier-Rozeille,23200,Creuse,Nouvelle-Aquitaine,2 Impasse des Ruisseaux,45.913813,2.195168,Association1901,Humanitaire | Professionnels | Solidarité | Santé,,1,Membership,1738018800,1774893904,110,
524878,Couleurs et Bien Etre par le Pouring  - CBEP- ,L'Art thérapie par le pouring ..les toiles pourront être offertes  aux personnes âgées et aux structures d'aidants/ Les toiles seront également mises en vente pour aider les associations locales de protection animale.,/associations/couleurs-et-bien-etre-par-le-pouring-cbep,https://cdn.helloasso.com/img/logos/croppedimage-bf85559050ca434495b3652838730e6d.jpg,https://cdn.helloasso.com/img/photos/croppedimage-c4122c01603b4152b956e26247f9cad7.png,La Chapelle-Saint-Martial,23250,Creuse,Nouvelle-Aquitaine,32 Route d’Ahun,46.029,1.936353,Association1901,Arts | Culture,,5,"Shop, Donation, PaymentForm, Membership",1723672800,1773576692,110,
494102,Doris Production,"PRODUCTION, MANAGEMENT, CONSEIL EN DEVELOPPEMENT DE PROJET & DIFFUSION DE PROJETS ARTISTIQUES JAZZ ET MUSIQUES DU MONDE",/associations/doris-production,https://cdn.helloasso.com/img/logos/croppedimage-730c6bbe7b134e7b85a4d2e393f4e753.png,https://cdn.helloasso.com/img/photos/croppedimage-c5c1b63bce004b1895be21a69462e572.png,Genouillac,23350,Creuse,Nouvelle-Aquitaine,2 Place de l’Ecole d’Agriculture,46.352393,1.991961,Association1901,Arts | Culture | Jazz | Musiques du monde | Musique,,2,"Donation, Membership",1712008800,1773396118,110,BasicCompta
474653,Vitis Batardus Liberata,Vigneron.ne.s et vignes en résistance !,/associations/vitis-batardus-liberata,https://cdn.helloasso.com/img/logos/croppedimage-3aaa0657f15046f094f3a00a1aea1f11.png,https://cdn.helloasso.com/img/photos/croppedimage-458f2c3725cd413d9ffd9974188062e4.png,Boussac-Bourg,23600,Creuse,Nouvelle-Aquitaine,1 Trimoulet,46.359515,2.216868,Association1901,Ecologie et Environnement | Environnement,Sudouest,1,Membership,1707606000,1774888976,110,
479817,Aux pieds du chêne,"L'association Aux pieds du Chêne participe au rayonnement de la Danse, de l'Art et de la Culture en milieu rural... et bien encore! L'association propose principalement des ateliers de création en danse contemporaine, qui sont animés par la chorégraphe Renée Bellini à La Souterraine.  ",/associations/aux-pieds-du-chene,https://cdn.helloasso.com/img/logos/croppedimage-25896bb197c044e78d3a486d1769cddc.jpg,https://cdn.helloasso.com/img/photos/croppedimage-6fa72c29ab4f4b25bff402c79b05e7ac.jpg,Saint-Priest-la-Feuille,23300,Creuse,Nouvelle-Aquitaine,6 Route de la Souterraine,46.20181,1.533747,Association1901,Arts et Culture | Arts | Culture | Danse,,2,Membership,1708902000,1773574154,110,
463955,FRANCE NATURE ENVIRONNEMENT 23,"""Penser global et agir local"" : Jacques Ellul.  France Nature Environnement Creuse (FNE 23) est une fédération d’associations creusoises et d’adhérent·es individuel·les qui œuvrent dans le domaine de l’étude et de la protection de la nature et de l’environnement . ",/associations/france-nature-environnement-23,https://cdn.helloasso.com/img/logos/croppedimage-c0b7d9a2272341e9b8c3fdc1dbdc233b.png,https://cdn.helloasso.com/img/photos/croppedimage-0183e02c9f064724bc337cd472dee3b0.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,11 Rue de Braconne,46.16671,1.881763,Association1901Rig,Ecologie et Environnement | Environnement,Sudouest | Don,1,Membership,1704754800,1745860138,110,
364684,Arche Musicale,La promotion de la culture musicale et surtout chorale en Limousin et partout où le vent la porte ! Des ensembles vocaux amateurs : Tactus - choeur mixte / Azulie - ensemble vocal féminin / Cantiamo - ensemble vocal mixte Un ensemble professionnel : l'Ensemble vocal Méliades ....,/associations/arche-musicale,https://cdn.helloasso.com/img/logos/croppedimage-3debd26f589d41b3aeb3a22ddf7d01ce.png,https://cdn.helloasso.com/img/photos/croppedimage-88d628709371444ca3129c5aa125d257.png,Châtelus-Malvaleix,23270,Creuse,Nouvelle-Aquitaine,1 Place de la Liberté,46.302997,2.024143,Association1901Rig,Arts | Chant | Chorale | Culture | Professionnels | Musique,Don,7,"Shop, Event, Donation, Membership",1671577200,1774799793,110,
603442,MONOKEROS FITNESS,"Club de fitness adapté à tous! Tout public. Tout niveau. De l'enfant au sénior. Du débutant au confirmé. Offre d'activités variée : méthodes douces ou intenses, chacun peut trouver un cours qui lui correspond!",/associations/monokeros-fitness,https://cdn.helloasso.com/img/logos/croppedimage-e5be5d0009d7439a8318e2cfe05a949e.png,https://cdn.helloasso.com/img/photos/croppedimage-9b8991e203004112900a62ee2fe3ec7c.png,Aubusson,23200,Creuse,Nouvelle-Aquitaine,Allee Jean Marie Couturier,45.953561,2.172689,Association1901Rig,Enfance | Fitness | Sport,,2,"Shop, Membership",1753048800,1773870111,110,BasicCompta
559833,ASEM Association Scolaire de l Ecole Maternelle de Bonnat,"L'association a pour but de proposer divers événements dont les bénéfices profitent aux enfants de l'école. Ils permettent de financer du matériel pédagogique, des sorties et spectacles ....afin de permettre aux enfants de découvrir et apprendre différemment. ",/associations/asem-association-scolaire-de-l-ecole-maternelle-de-bonnat,https://cdn.helloasso.com/img/logos/croppedimage-595f4ebe78e64cf68896862578e68435.png,https://cdn.helloasso.com/img/photos/croppedimage-8984686e5c1e46ce971a1ee7da01b94e.png,Bonnat,23220,Creuse,Nouvelle-Aquitaine,Chemin de Ronde,46.329862,1.902658,Association1901,Enfance | Humanitaire | Solidarité | Education,,1,Event,1736031600,1743774856,110,
364380,CPTS Creuse Combrailles,retrouvez-nous sur le site de la CPTS :  www.cptscreusecombrailles.fr,/associations/cpts-creuse-combrailles,https://cdn.helloasso.com/img/logos/croppedimage-3aa735b7ca344cb1bf5771dbe4ec180a.png,https://cdn.helloasso.com/img/photos/croppedimage-c45257d1c1c1497981016cab08f1cc94.png,Boussac,23600,Creuse,Nouvelle-Aquitaine,4 Rue du Limousin,46.349545,2.215442,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,1,Membership,1671404400,1774019671,110,
266526,Association La Souterraine Handball,"Club sportif depuis 1987, 150 licenciés regroupés en plusieurs catégories, de l'école de hand aux séniors filles et garçons. ",/associations/association-la-souterraine-handball,https://cdn.helloasso.com/img/logos/croppedimage-e37a39b84e3440f5a22e17fd82d753ff.png,https://cdn.helloasso.com/img/photos/croppedimage-5dac3bf95d514d3692447b934cd6e7c1.jpg,La Souterraine,23300,Creuse,Nouvelle-Aquitaine,1 Rue de l’Hermitage,46.238817,1.48297,Association1901,Sport | Handball,,3,"Event, Donation, Membership",1623016800,1771599517,110,FFHB
253987,LES ZARBIS Z'ARTS,"Hello à tous !  Notre but premier est de promouvoir l'art, la culture sous toutes leurs formes dans les milieux ruraux : concerts, spectacles, expositions ... voire festivals regroupant toutes ces activités, promotion d'artisans, production d'oeuvres...",/associations/les-zarbis-z-arts,https://cdn.helloasso.com/img/logos/croppedimage-0bbe8ceae60a47eab87d4e9d2a4373c0.png,https://cdn.helloasso.com/img/photos/croppedimage-646dc661bf794492b52813a7a69a9a4b.png,Fresselines,23450,Creuse,Nouvelle-Aquitaine,8 Les Forges,46.354654,1.73066,Association1901,Artisanat | Arts | Culture | Arts et Culture,,2,"Event, Membership",1616968800,1773502683,110,
480225,Drone Passion Environnement,"Le premier but de l'association est : La détection par drone avec caméra thermique, des jeunes animaux de la faune sauvage, afin de les préserver lors des fenaisons et récoltes, pour éviter qu'ils soient victimes des machines agricoles. (Amputation et mort) Chaque année, encore trop de victimes ! ",/associations/drone-passion-environnement,https://cdn.helloasso.com/img/logos/croppedimage-22ea21cd9e444e199c2ea5587d3100db.png,https://cdn.helloasso.com/img/photos/croppedimage-c2cc65b9286741fb8557dcace0880b54.png,Saint-Agnant-près-Crocq,23260,Creuse,Nouvelle-Aquitaine,n° 3 Viers,45.826087,2.343266,Association1901,Animaux | Environnement,Sudouest,1,Donation,1708988400,,110,
472710,Comité Miss Creuse pour Miss Limousin ,"Organisation annuelle d'un gala d'élection de Miss départementale pour Miss Limousin  puis Miss France. Organisation d'évènements type lotos, tombolas, spectacles, défilés, inaugurations, évènements sportifs, culturels...",/associations/comite-miss-creuse-pour-miss-limousin,https://cdn.helloasso.com/img/logos/croppedimage-9ef74610993c42a498f0e75079dbb366.png,https://cdn.helloasso.com/img/photos/croppedimage-f973cfe6a1ab4d7d9a223f436107e5b4.jpg,Saint-Laurent,23000,Creuse,Nouvelle-Aquitaine,23 Teyrat,46.146322,1.951552,Association1901,Arts | Culture | Arts et Culture,,2,"Shop, Event",1707087600,1771691247,110,
447903,Salle des Travaux Pratiques,"Travaux Pratiques est une association qui se consacre à la réhabilitation d'ateliers de pratiques artistiques et artisanales, d'une salle polyvalente et d'un bistrot dans le mythique ancien hôtel Constanty — Chez Constance — au cœur du bourg de Faux-la-montagne.",/associations/salle-des-travaux-pratiques,https://cdn.helloasso.com/img/logos/croppedimage-73a98fd8b82844abb34cab23e99e78ef.png,https://cdn.helloasso.com/img/photos/croppedimage-8dad335019bc42cb8c03ce55f4ae2bc4.jpg,Faux-la-Montagne,23340,Creuse,Nouvelle-Aquitaine,"Chez Constance, Le Bourg",45.743561,1.991353,Association1901,Arts | Culture | Arts et Culture,,1,Membership,1699398000,1771894322,110,
585631,VIRTUAL FIGHT CLUB,"Association Guéretoise de jeux vidéos, orienté jeux de combat.",/associations/virtual-fight-club,https://cdn.helloasso.com/img/logos/croppedimage-1597e59cb4e14a05a01a7487f95ab236.png,https://cdn.helloasso.com/img/photos/croppedimage-ea62c0f4a4cf47318a92623c20bd91a2.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,22 avenue Charles de Gaulle,46.170916,1.874049,Association1901,Loisirs | Jeux,,1,Membership,1745359200,1773045034,110,
644648,DANSE MOI ÇA,"Notre association a pour vocation de rassembler, transmettre et faire vibrer à travers la danse. Danse orientale, hip-hop, danses du monde… ici, les cultures se rencontrent, les générations se croisent et les corps s’expriment librement.  ",/associations/danse-moi-ca,https://cdn.helloasso.com/img/logos/croppedimage-bea3644f10334f8badf5db433eba9e75.png,https://cdn.helloasso.com/img/photos/croppedimage-9409d13acee94334bfb898a1e5c3e807.png,La Souterraine,23300,Creuse,Nouvelle-Aquitaine,2 avenue du General Leclerc,46.238227,1.490902,Association1901,Arts et Culture | Arts | Culture | Danse | Hip-hop,,1,Donation,1769641200,1770718867,110,
150383,Groupement des Agriculteurs Bio de la Creuse,Groupement des agriculteurs bio de la Creuse Association de développement agricole territorial.  Le conseil d'administration est composé de producteurs et productrices bio de la Creuse.  Il y a actuellement 2 salariés sur le département et une équipe de salariés en réseau sur la Nouvelle Aquitaine. ,/associations/groupement-des-agriculteurs-bio-de-la-creuse,https://cdn.helloasso.com/img/logos/groupement des agriculteurs bio de la creuse-1c0158c39db04238819a7479371a2dd1.png,https://cdn.helloasso.com/img/photos/croppedimage-93b0ba873031451c90c40d48915af3f5.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,22 Avenue Charles de Gaulle,46.170683,1.87425,Association1901,Patrimoine,,2,"Shop, Membership",1559512800,1774625097,110,
537128,ECOLE COMMUNE - PRATIQUES DE L'ARTISANAT ET DE L'ARCHITECTURE EN MILIEU RURAL,L'association Ecole Commune a pour volonté de tisser des liens entre l'architecture et l'artisanat à travers l'organisation de chantiers-écoles en milieu rural.,/associations/ecole-commune-pratiques-de-l-artisanat-et-de-l-architecture-en-milieu-rural,https://cdn.helloasso.com/img/logos/croppedimage-388aa01464c3402ba966ba06843c256e.png,https://cdn.helloasso.com/img/photos/croppedimage-205737222aac42c390d3b4a957ef1795.jpg,Saint-Martin-Sainte-Catherine,23430,Creuse,Nouvelle-Aquitaine,Marlhac,45.923807,1.567841,Association1901,Patrimoine | Architecture | Artisanat,,1,Membership,1727647200,1768983771,110,
638185,L'ENTRE DES JE Guéret,"L’Entre des Je est une association dédiée à la création et à l’organisation d’expériences ludiques immersives : jeux de rôle Grandeur Nature, murder parties et événements narratifs. Nous privilégions l’immersion, l’écriture et le respect des joueurs.",/associations/l-entre-des-je-gueret,https://cdn.helloasso.com/img/logos/croppedimage-dedc1c8730054d46b876225a036ebcf1.png,https://cdn.helloasso.com/img/photos/croppedimage-65b6ee593eb442f1b798af157c628898.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,9 Rue du Marché,46.17077,1.868269,Association1901,Arts | Culture | Jeux | Arts et Culture,,1,Event,1767567600,1774508218,110,
171989,La Métive,"La Métive est un lieu de résidence de création artistique pluridisciplinaire implantée à Moutier-d’Ahun, en Creuse.",/associations/la-metive,https://cdn.helloasso.com/img/logos/la metive-8a8a51364b0f43b0b02a67efecd73c1d.png,https://cdn.helloasso.com/img/photos/dji 0125-redim-6935f8129a3c46c6955fc51c0eaec45a.jpg,Moutier-d’Ahun,23150,Creuse,Nouvelle-Aquitaine,2 Rue Simon Bauer,46.092007,2.056327,Association1901,Arts et Culture | Arts | Culture,,2,"Shop, Membership",1571522400,1774956686,110,
473425,APAJH de la Creuse,"Créée en 1971, l’Association Pour Adultes et Jeunes Handicapés de la Creuse accompagne aujourd'hui près de 700 personnes en situation de handicap. L’accompagnement repose sur 520 salariés, dans 17 établissements et services.",/associations/apajh-de-la-creuse,https://cdn.helloasso.com/img/logos/croppedimage-6322fd2dcc014ea183b2386846ef84bc.png,https://cdn.helloasso.com/img/photos/croppedimage-ad9e1957178e421bb6763062fc9c4bde.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,23 Rue Sylvain Blanchet,46.178869,1.866099,Association1901Rup,Handicap | Humanitaire | Solidarité | Solidarité et Action Sociale,,2,Membership,1707260400,1769534200,110,
592579,Cercle des Nageurs Guérétois,Club de natation à Guéret,/associations/cercle-des-nageurs-gueretois,https://cdn.helloasso.com/img/logos/croppedimage-e3414e1d66214f139b6fab897136d2ad.png,https://cdn.helloasso.com/img/photos/croppedimage-0723317414384559aa2fa8b21c39d6b8.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,Avenue Fayolle,46.171444,1.87382,Association1901Rup,Sport | Natation,,2,"Shop, Donation",1748210400,1771245995,110,
564326,L'ESCURO - CPIE des Pays Creusois,Facilitateur de l'action commune en territoires pour accélérer la transition écologique,/associations/l-escuro-cpie-des-pays-creusois,https://cdn.helloasso.com/img/logos/croppedimage-5232c709817046c9bc05bac57a354090.png,https://cdn.helloasso.com/img/photos/croppedimage-54dddbc051f445f48c9381289759e1f3.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,3 Rue Alexandre Guillon,46.171169,1.883913,Association1901,Environnement | Écologie | Ecologie et Environnement,Sudouest,1,Membership,1737414000,1774166194,110,
224263,Vieilles racines et jeunes pousses,"Connaître, transmettre et préserver les savoirs autours du monde végétal.  www.vieilles-racines-et-jeunes-pousses.fr",/associations/vieilles-racines-et-jeunes-pousses,https://cdn.helloasso.com/img/logos/vieilles racines et jeunes pousses-c39bcd56f09b40efbce5718295e6a7cc.jpg,https://cdn.helloasso.com/img/photos/croppedimage-60674d86b56e4f73a2c7f68381720bf7.png,Mérinchal,23420,Creuse,Nouvelle-Aquitaine,"11, Mercin",45.906758,2.501356,Association1901,Education | Formation,Sudouest,35,Event,1602367200,1770809406,110,
283370,Le Kilukru ,"Le Kilukru est avant tout un lieu de vie, de rencontre et de partage. L'équipe souhaite vous accueillir comme à la maison, entre amis autour d'un verre ou d'un repas partagé. Espace Epicerie, ateliers, spectacles, concerts, débats, jeux, lecture... Tout est envisageable! Bienvenue chez vous :)",/associations/le-kilukru,https://cdn.helloasso.com/img/logos/croppedimage-7ea6898a1c9f405cbb2ebd690d50559b.png,https://cdn.helloasso.com/img/photos/croppedimage-b43723f6eded4bda93b1b85f7d21ecb2.png,Bazelat,23160,Creuse,Nouvelle-Aquitaine,23 Le Bourg,46.352093,1.538645,Association1901,Humanitaire | Jeux | Lecture | Solidarité | Arts et Culture | Loisirs,,1,Event,1632088800,1763059246,110,
538621,Enduro des Millevaches,"Organisateur de l'enduro des Millevaches, gestionnaire du trails center des Millevaches",/associations/enduro-des-millevaches,https://cdn.helloasso.com/img/logos/croppedimage-b287395920df46fea1238727cca7640f.png,https://cdn.helloasso.com/img/photos/croppedimage-5c139058231745269deca65710ce6ca9.jpg,Croze,23500,Creuse,Nouvelle-Aquitaine,La Grattade,45.817826,2.160934,Association1901,Sport,,1,Membership,1727992800,1747337989,110,
478301,Association Sportive et Culturelle des Écoles de Saint-Agnant-de-Versillat,"L'ASCE propose des activités périscolaires festives, sportives et culturelles à destination des élèves de St Agnant de Versillat et de leur famille. L'ASCE soutient l'action éducative des enseignants (sans se substituer à leur rôle pédagogique) et promeut l'éveil des enfants.",/associations/association-sportive-et-culturelle-des-ecoles-de-saint-agnant-de-versillat,https://cdn.helloasso.com/img/logos/croppedimage-6396ba6a9a044620b839fde83d0ca8d7.png,https://cdn.helloasso.com/img/photos/croppedimage-0110e72c86d14876a19cd3524b604478.jpg,Saint-Agnant-de-Versillat,23300,Creuse,Nouvelle-Aquitaine,Route de la Souterraine,46.277491,1.510118,Association1901,Education | Culture | Enfance | Enseignement | Formation | Fête,,1,Event,1708556400,1766140223,110,
255923,Le Théâtre Qu'on Braille,"Le Théâtre Qu’on Braille, en lien avec Ensemble en scène, développe des projets de création et de diffusion théâtrales, organise des événements et mène des actions de transmission du théâtre auprès de publics variés, avec une attention particulière portée au territoire.",/associations/le-theatre-qu-on-braille,https://cdn.helloasso.com/img/logos/croppedimage-a00983b9ea63409298a9ac0c66d55554.jpg,https://cdn.helloasso.com/img/photos/croppedimage-49747d492fc8427bac582b7fc346d918.jpg,Pionnat,23140,Creuse,Nouvelle-Aquitaine,1 Place de la Mairie,46.170424,2.024773,Association1901,Arts | Culture | Théâtre | Arts et Culture,,1,Membership,1618178400,1766068475,110,
124480,L'usine à rêves,"L'Usine à rêves, organisatrice de l'Ecole de magie Griffsor",/associations/l-usine-a-reves,https://cdn.helloasso.com/img/logos/l usine a reves-6e525e1c4cd74bbcbc2986b5546c5fc8.jpg,https://cdn.helloasso.com/img/photos/ecole de magie 2-d6fa143cca164841ba3b3c2d03c77ee4.jpg,Dontreix,23700,Creuse,Nouvelle-Aquitaine,La Gaye,45.964197,2.521531,Association1901,Humanitaire | Solidarité | Education | Solidarité et Action Sociale,,3,"Event, Donation",1547852400,1769192680,110,
335598,HANDBALL CLUB GUERETOIS,Le Guéret HBC est une association sportive dédiée à la pratique du handball en compétition et en loisirs pour tous les âges et tous les niveaux.  ,/associations/handball-club-gueretois,https://cdn.helloasso.com/img/logos/croppedimage-17150d7d853e454bb6506ecdece32537.png,https://cdn.helloasso.com/img/photos/croppedimage-cccd6ec5a18940fc90a8c29bee6f17b2.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,Rue Jean Bussière,46.186366,1.875425,Association1901Rig,Sport | Handball,,1,Shop,1658268000,1763549225,110,FFHB | BasicCompta
484162,Moustache garage ,Cette association à pour objet :  De créer et promouvoir des événements caritatifs.  De créer et vendre des articles afin de lever des fonds. Promouvoir l'Oeuvre des Pupilles.  Promouvoir le département de le Creuse et développer le sport motocycliste.,/associations/moustache-garage,https://cdn.helloasso.com/img/logos/croppedimage-7322b6b2170f4746b6746f795ad5ef8f.png,https://cdn.helloasso.com/img/photos/croppedimage-477511e2b35348a0b55f240e3c10cb63.png,Saint-Fiel,23000,Creuse,Nouvelle-Aquitaine,25 bis laschamp de chavanat,46.202201,1.903975,Association1901,Caritatif | Sport,,2,"Shop, Donation",1710025200,1771245912,110,
531597,CAC23bis,"Le Collectif des Artistes de la Creuse (CAC23bis) est une association de promotion des arts visuels et graphiques. Elle aspire à diffuser de l'art auprès du plus grand nombre, d'accompagner les artistes dans leur professionnalisation.  ",/associations/cac23bis,https://cdn.helloasso.com/img/logos/croppedimage-e4e2480085ed4cbfab24a7564fd31ff7.png,https://cdn.helloasso.com/img/photos/croppedimage-7a82b65cca2a4921b35dc3d56de64846.png,Guéret,23000,Creuse,Nouvelle-Aquitaine,22 Avenue Charles de Gaulle,46.170916,1.874049,Association1901,Arts | Culture | Arts et Culture,,2,"Event, Membership",1725919200,1772190905,110,
375827,Comité des fêtes de Fransèches,"L’association a un caractère récréatif et éducatif. Elle a pour but d’organiser les loisirs de toute la collectivité, éducation, conférences, voyage, éducation physique et sportive, activité de lecture, théâtre, etc. et  de renforcer par tous les moyens la solidarité morale de tous les habitants.",/associations/comite-des-fetes-de-franseches,https://cdn.helloasso.com/img/logos/croppedimage-1f4391dffc4c4a70b2ed242ce0665da8.jpg,https://cdn.helloasso.com/img/photos/croppedimage-11f8917dffe6479f8c256ed13fc96081.png,Fransèches,23480,Creuse,Nouvelle-Aquitaine,33 les Essards,46.023611,2.030788,Association1901Rig,Lecture | Solidarité | Théâtre | Voyages | Loisirs | Education,Comites-des-fetes,2,"Donation, Event",1675897200,1753518101,110,
603210,BECS ET ONGLES,L’association becs et ongles souhaite agir pour une société équitable avec une approche antispéciste intersectionnelle. ,/associations/becs-et-ongles,https://cdn.helloasso.com/img/logos/croppedimage-f79139ba3e9e41b59092737901c2829d.png,https://cdn.helloasso.com/img/photos/croppedimage-0822d3ca840d490eb00c6e6cefdf706f.png,Parsac-Rimondeix,23140,Creuse,Nouvelle-Aquitaine,10 lieu-dit La Semnadisse,46.238757,2.101637,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,Sudouest,6,"Donation, Membership",1752962400,1765040400,110,
407047,Par la Racine,"Par la Racine. Ré-enchanter la mort. Des habitant.e.s de la Montagne Limousine qui se mobilisent pour la réappropriation des savoirs et des pratiques liées à la mort, à la fin de vie et au deuil.",/associations/par-la-racine,https://cdn.helloasso.com/img/logos/croppedimage-e853620a33be48af8cae65dbd031f89f.png,https://cdn.helloasso.com/img/photos/croppedimage-1a96bbda0a8747e79ae32508767b693d.png,Faux-la-Montagne,23340,Creuse,Nouvelle-Aquitaine,Le bourg,45.752507,1.932097,Association1901Rig,Humanitaire | Solidarité | Spiritualité,,1,Membership,1685570400,1770337758,110,
418427,Felletin Patrimoine Environnement,"Créée en 1989 et reconnue d'intérêt général, Felletin Patrimoine Environnement œuvre à la valorisation des patrimoines et des savoir-faire de Felletin. Nous vous invitons à découvrir les trésors architecturaux, historiques, industriels, immatériels et naturels de notre territoire.",/associations/felletin-patrimoine-environnement,https://cdn.helloasso.com/img/logos/croppedimage-da887b4214c84e24b51e3d2eed73cc4e.png,https://cdn.helloasso.com/img/photos/croppedimage-53ad4c94033a48f4a941eaafe7709523.png,Felletin,23500,Creuse,Nouvelle-Aquitaine,Place du Marché,45.883081,2.173624,Association1901Rig,Patrimoine | Arts | Culture | Environnement,Sudouest | Journee-patrimoine,4,"Event, Donation",1689112800,1760974909,110,
426499,CDC - Club des Cygnes,,/associations/cdc-club-des-cygnes,https://cdn.helloasso.com/img/logos/croppedimage-121ff486bd6841c6a3719d563a2ee796.png,https://cdn.helloasso.com/img/photos/croppedimage-0d80a89e2b354747bcde64ec6ca510d2.png,Le Grand-Bourg,23240,Creuse,Nouvelle-Aquitaine,2 Place des Tilleuls,46.160142,1.646249,Association1901,Arts et Culture | Arts | Culture,,1,Membership,1693260000,1772041853,110,
